ID,Messenger_datetimes,RHESSI_datetimes,Obs_start_time,Obs_end_time,Messenger_T,Messenger_EM1,Messenger_GOES,Messenger_total_counts,RHESSI_GOES,GOES_GOES,RHESSI_total_counts,source_vis,Messenger_data_path,RHESSI_data_path,XRS_files,QL_images,RHESSI_browser_urls,csv_name,Angle,Notes
7053005,30-May-2007 13:59:58.000,30-May-2007 13:46:33.000,31-May-2007 00:03:55.000,31-May-2007 00:04:11.000,1.217684268951416,0.0005579483113251626,      -1,0.0,C2.0*,      -1,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2007150,nan,nan,list_gshort_fit_high.csv,62.50337424849359,1.4464
7060208,02-Jun-2007 10:33:54.000,02-Jun-2007 10:31:26.000,03-Jun-2007 00:03:47.000,03-Jun-2007 00:04:03.000,1.0726872682571411,0.0025770540814846754,      -1,0.0,M1.0,A1.1,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2007153,nan,nan,list_gshort_fit_high.csv,60.64699146509474,1.21516
7060304,03-Jun-2007 07:04:10.000,03-Jun-2007 06:36:23.000,04-Jun-2007 00:03:45.000,04-Jun-2007 00:04:01.000,2.1126534938812256,2.7234991648583673e-05,      -1,0.0,,      -1,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2007154,nan,nan,list_gshort_fit_high.csv,60.075911481949895,1.83915
7071024,10-Jul-2007 12:39:50.000,10-Jul-2007 12:36:17.000,11-Jul-2007 00:03:38.000,11-Jul-2007 00:03:54.000,2.5805845260620117,2.5210933017660864e-05,      -1,0.0,C1.1*,      -1,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2007191,nan,nan,list_gshort_fit_high.csv,52.59610651071607,2.82779
10020621,06-Feb-2010 15:35:18.000,06-Feb-2010 15:29:58.000,07-Feb-2010 00:02:19.000,07-Feb-2010 00:02:35.000,0.6778064966201782,0.015499366447329521,      -1,0.0,B1.3,A1.4,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2010037,nan,nan,list_gshort_fit_high.csv,38.286310615814315,1.63743
10020855,08-Feb-2010 13:55:14.000,08-Feb-2010 13:41:22.000,09-Feb-2010 00:03:43.000,09-Feb-2010 00:03:59.000,1.4876108169555664,0.00011664679914247245,      -1,0.0,B1.3,      -1,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2010039,nan,nan,list_gshort_fit_high.csv,42.95263410531598,4.39082
10110321,03-Nov-2010 12:17:14.000,03-Nov-2010 12:11:43.000,04-Nov-2010 00:04:04.000,04-Nov-2010 00:04:20.000,1.0535860061645508,0.0006739561213180423,      -1,0.0,B4.7*,      -1,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2010307,nan,nan,list_gshort_fit_high.csv,102.01550077442414,1.44406
10110640,06-Nov-2010 16:25:50.000,06-Nov-2010 15:31:53.000,07-Nov-2010 00:04:14.000,07-Nov-2010 00:04:30.000,1.0807095766067505,0.013702157884836197,A2.9,0.0,C8.2,A3.2,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2010310,nan,nan,list_gshort_fit_high.csv,96.70174490548968,1.65086
11021464,14-Feb-2011 16:04:34.000,14-Feb-2011 15:41:43.000,15-Feb-2011 00:00:20.000,15-Feb-2011 00:00:36.000,3.484023094177246,7.980971190590935e-07,      -1,0.0,B2.2,A8.6,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2011045,nan,nan,list_gshort_fit_high.csv,153.9005900649947,6.98393
11021439,14-Feb-2011 16:27:38.000,14-Feb-2011 15:41:43.000,15-Feb-2011 00:00:20.000,15-Feb-2011 00:00:36.000,3.484023094177246,7.980971190590935e-07,      -1,0.0,B7.8,A8.6,0.0,nan,/Users/wheatley/Documents/Solar/occulted_flares/data/dat_files,/Users/wheatley/Documents/Solar/occulted_flares/data/,/xrs2011045,nan,nan,list_gshort_fit_high.csv,153.9005900649947,6.98393
