time_dbl1 (sec),      time (at Earth),   flux w/o and w/ background (photons/sec), exptime (s);  bkg_interval, lc_bkg: 2014/09/01 09:40:00 2014/09/01 10:03:00       6986981.
      0.00000  2014-09-01T08:00:56.516       -291860.2       6695121.        8.00392
      300.000  2014-09-01T08:05:56.517       -298334.2       6688647.        8.00769
      599.999  2014-09-01T08:10:56.515       -295092.7       6691888.        8.00770
      904.003  2014-09-01T08:16:00.520       -264935.2       6722046.        16.0113
      1200.01  2014-09-01T08:20:56.531       -272789.7       6714192.        8.03432
      1500.00  2014-09-01T08:25:56.517       -292739.7       6694242.        8.00769
      1800.00  2014-09-01T08:30:56.516       -279132.2       6707849.        8.00770
      2100.00  2014-09-01T08:35:56.516       -285248.2       6701733.        8.00770
      2400.00  2014-09-01T08:40:56.514       -294922.2       6692059.        8.00769
      2700.00  2014-09-01T08:45:56.516       -270012.7       6716968.        8.00769
      3000.00  2014-09-01T08:50:56.514       -249230.2       6737751.        8.00770
      3300.00  2014-09-01T08:55:56.517       -241997.7       6744984.        8.00769
      3600.00  2014-09-01T09:00:56.512       -203030.2       6783951.        8.00769
      3900.00  2014-09-01T09:05:56.512       -166951.7       6820030.        8.00770
      4199.99  2014-09-01T09:10:56.509       -144307.7       6842674.        8.00388
      4499.99  2014-09-01T09:15:56.509       -132379.7       6854602.        8.00393
      4800.00  2014-09-01T09:20:56.513       -95780.20       6891201.        8.00394
      5099.99  2014-09-01T09:25:56.508       -99583.70       6887398.        8.00395
      5400.25  2014-09-01T09:30:56.771       -76711.20       6910270.        8.00772
      5699.99  2014-09-01T09:35:56.509        1566.800       6988548.        8.00772
      6000.00  2014-09-01T09:40:56.513       -9085.700       6977896.        8.00769
      6299.99  2014-09-01T09:45:56.508       -3286.200       6983695.        8.00770
      6599.99  2014-09-01T09:50:56.510       -7082.200       6979899.        8.00770
      6899.99  2014-09-01T09:55:56.510       -3265.700       6983716.        8.00770
      7200.00  2014-09-01T10:00:56.511        22719.80       7009701.        8.00772
      7499.99  2014-09-01T10:05:56.509        109001.8       7095983.        8.00770
      7799.99  2014-09-01T10:10:56.509        466902.8       7453884.        8.00769
      8103.99  2014-09-01T10:16:00.510        114181.8       7101163.        16.0113
      8399.99  2014-09-01T10:20:56.507        91156.80       7078138.        8.00769
      8699.99  2014-09-01T10:25:56.509        110020.3       7097002.        8.00770
      8999.99  2014-09-01T10:30:56.505        136978.8       7123960.        8.00769
      9299.99  2014-09-01T10:35:56.505        143532.3       7130514.        8.00770
      9599.99  2014-09-01T10:40:56.504        171800.3       7158782.        8.00392
      9899.99  2014-09-01T10:45:56.506        210418.3       7197400.        8.00769
      10200.0  2014-09-01T10:50:56.505        266004.8       7252986.        8.00769
      10500.0  2014-09-01T10:55:56.507        594417.3       7581398.        8.00769
      10800.0  2014-09-01T11:00:56.503        7907885.   1.489487e+07        8.00771
      11100.0  2014-09-01T11:05:56.505    1.136566e+07   1.835265e+07        8.00769
      11400.0  2014-09-01T11:10:56.503    1.532673e+07   2.231371e+07        8.00770
